transaction_id,customer_id,transaction_datetime,amount,transaction_type,merchant_name,category,fraud_flag
38,891,2023-01-01 17:41:52,28.25,Purchase,Microsoft,Education,no_fraud
39,1970,2023-01-01 17:42:26,10.85,Purchase,Google,Home,no_fraud
40,3908,2023-01-01 18:31:07,28.92,Purchase,Amazon Prime,Home,no_fraud
41,9535,2023-01-01 18:31:27,41.54,Purchase,Home Depot,Shopping,no_fraud
42,7955,2023-01-01 18:33:43,16.8,Purchase,Geico,Home,no_fraud
43,4365,2023-01-01 18:52:01,18.37,Purchase,Trader Joe's,Healthcare,no_fraud
44,2211,2023-01-01 19:01:04,192.91,Deposit,N/A,Deposit,no_fraud
45,7089,2023-01-01 19:15:49,200.0,Withdrawal,N/A,Withdrawal,no_fraud
46,8832,2023-01-01 19:51:52,34.51,Purchase,AT&T,Education,no_fraud
47,9057,2023-01-01 20:07:52,20.93,Purchase,Verizon,Utilities,no_fraud
48,9273,2023-01-01 20:16:51,17.43,Purchase,Hardware Store,Utilities,no_fraud
49,6584,2023-01-01 21:21:06,30.09,Purchase,Pet Store,Education,no_fraud
50,5713,2023-01-01 21:27:12,6.74,Purchase,Sporting Goods,Healthcare,no_fraud
51,6994,2023-01-01 21:56:37,9.26,Purchase,Subway,Shopping,no_fraud
52,7123,2023-01-01 22:39:17,16.89,Purchase,Shell,Home,no_fraud
53,7178,2023-01-01 22:54:53,26.7,Purchase,Grocery Store,Home,no_fraud
54,8446,2023-01-01 23:17:57,43.97,Purchase,Chipotle,Utilities,no_fraud
55,7221,2023-01-02 00:20:06,27.79,Purchase,Trader Joe's,Utilities,no_fraud
56,4210,2023-01-02 00:20:38,34.57,Purchase,Clothing Store,Education,no_fraud
57,4032,2023-01-02 00:54:38,16.29,Purchase,Walgreens,Entertainment,no_fraud
58,6030,2023-01-02 01:35:46,21.48,Purchase,Home Depot,Home,no_fraud
59,6966,2023-01-02 02:38:05,16.99,Purchase,Toy Store,Groceries,no_fraud
60,4329,2023-01-02 02:51:22,23.97,Purchase,Disney+,Home,no_fraud
61,4381,2023-01-02 03:09:55,33.3,Purchase,Instacart,Healthcare,no_fraud
62,7278,2023-01-02 03:15:26,57.07,Purchase,Sporting Goods,Transportation,no_fraud
63,2519,2023-01-02 03:16:23,29.09,Purchase,Hulu,Shopping,no_fraud
64,2984,2023-01-02 03:38:58,200.0,Withdrawal,N/A,Withdrawal,no_fraud
65,2920,2023-01-02 03:52:36,21.81,Purchase,Disney+,Healthcare,no_fraud
66,1811,2023-01-02 04:03:33,15.78,Purchase,Enterprise,Transportation,no_fraud
67,9703,2023-01-02 04:45:48,84.5,Purchase,Panera Bread,Utilities,no_fraud
68,2581,2023-01-02 04:57:06,11.99,Purchase,HBO Max,Utilities,no_fraud
69,8097,2023-01-02 05:30:45,14.29,Purchase,Bookstore,Healthcare,no_fraud
70,3072,2023-01-02 05:33:05,42.13,Purchase,Gym,Education,no_fraud
71,1741,2023-01-02 05:33:53,40.57,Purchase,Costco,Education,no_fraud
72,8876,2023-01-02 05:47:45,18.07,Purchase,Chevron,Dining,no_fraud
73,5804,2023-01-02 06:10:00,20.28,Purchase,Department Store,Transportation,no_fraud
74,6094,2023-01-02 06:26:13,41.57,Purchase,Best Buy,Entertainment,no_fraud
75,488,2023-01-02 06:56:33,27.73,Purchase,Google,Education,no_fraud
76,3065,2023-01-02 08:05:43,8.12,Purchase,Panera Bread,Entertainment,no_fraud
77,5045,2023-01-02 08:10:10,34.58,Purchase,Bookstore,Utilities,no_fraud
78,1928,2023-01-02 08:48:52,21.09,Purchase,Auto Shop,Travel,no_fraud
79,3308,2023-01-02 08:54:19,16.35,Purchase,Auto Shop,Entertainment,no_fraud
80,7712,2023-01-02 09:03:24,78.95,Purchase,Gym,Education,no_fraud
81,1491,2023-01-02 09:13:36,444.45,Deposit,N/A,Deposit,no_fraud
82,8402,2023-01-02 09:33:59,35.14,Purchase,Chevron,Entertainment,no_fraud
83,9890,2023-01-02 09:43:56,9.51,Purchase,Lyft,Dining,no_fraud
84,7517,2023-01-02 10:20:50,16.08,Purchase,Dunkin',Utilities,no_fraud
85,7199,2023-01-02 10:26:10,18.74,Purchase,Netflix,Entertainment,no_fraud
86,1480,2023-01-02 10:40:16,32.06,Purchase,Google,Healthcare,no_fraud
87,6734,2023-01-02 10:49:00,46.54,Purchase,Costco,Education,no_fraud
88,2464,2023-01-02 11:01:19,27.14,Purchase,Local Restaurant,Home,no_fraud
89,4427,2023-01-02 11:02:16,23.64,Purchase,Apple,Dining,no_fraud
90,4988,2023-01-02 11:14:58,19.69,Purchase,Shell,Transportation,no_fraud
91,3940,2023-01-02 12:02:34,40.33,Purchase,Instacart,Home,no_fraud
92,1485,2023-01-02 13:17:00,25.95,Purchase,Local Restaurant,Shopping,no_fraud
93,9840,2023-01-02 13:34:23,24.22,Purchase,State Farm,Shopping,no_fraud
94,710,2023-01-02 13:36:10,34.1,Purchase,T-Mobile,Shopping,no_fraud
95,2049,2023-01-02 13:38:28,18.51,Purchase,Dental Office,Healthcare,no_fraud
96,3285,2023-01-02 14:57:38,22.6,Purchase,Grocery Store,Education,no_fraud
97,9401,2023-01-02 15:02:51,22.05,Purchase,Medical Office,Education,no_fraud
98,2725,2023-01-02 15:36:24,13.27,Purchase,T-Mobile,Groceries,no_fraud
99,3878,2023-01-02 15:58:08,16.91,Purchase,Kroger,Transportation,no_fraud
100,4158,2023-01-02 16:18:44,120.0,Withdrawal,N/A,Withdrawal,no_fraud
101,1205,2023-01-02 16:29:19,11.9,Purchase,Amazon,Healthcare,no_fraud
102,3661,2023-01-02 17:04:57,590.56,Deposit,N/A,Deposit,no_fraud
103,894,2023-01-02 17:15:52,20.81,Purchase,Toy Store,Travel,no_fraud
104,5808,2023-01-02 17:29:58,38.95,Purchase,Costco,Travel,no_fraud
105,6640,2023-01-02 18:26:51,16.7,Purchase,Apple,Entertainment,no_fraud
106,4457,2023-01-02 18:27:59,34.17,Purchase,Whole Foods,Education,no_fraud
107,9368,2023-01-02 19:29:25,80.0,Withdrawal,N/A,Withdrawal,no_fraud
108,6901,2023-01-02 19:43:57,42.89,Purchase,Apple,Dining,no_fraud
109,3123,2023-01-02 20:13:34,13.33,Purchase,Florist,Transportation,no_fraud
110,8613,2023-01-02 21:36:07,17.6,Purchase,Furniture Store,Education,no_fraud
111,4019,2023-01-02 22:16:15,40.77,Purchase,Starbucks,Education,no_fraud
112,4440,2023-01-02 22:30:03,32.86,Purchase,Hulu,Transportation,no_fraud
113,9103,2023-01-02 22:53:17,14.15,Purchase,Trader Joe's,Dining,no_fraud
114,3245,2023-01-02 23:12:35,36.37,Purchase,Pet Store,Education,no_fraud
115,1144,2023-01-02 23:34:25,21.6,Purchase,DoorDash,Dining,no_fraud
116,1870,2023-01-02 23:50:24,20.98,Purchase,Hilton Hotels,Shopping,no_fraud
117,2870,2023-01-03 00:47:27,37.73,Purchase,Microsoft,Groceries,no_fraud
118,2654,2023-01-03 01:15:41,34.21,Purchase,Microsoft,Utilities,no_fraud
119,4867,2023-01-03 01:19:13,38.5,Purchase,Amazon Prime,Entertainment,no_fraud
120,9906,2023-01-03 02:25:37,27.48,Purchase,Pet Store,Education,no_fraud
121,5830,2023-01-03 04:41:47,8.88,Purchase,Grocery Store,Home,no_fraud
122,3826,2023-01-03 05:23:41,10.82,Purchase,Electronics Store,Groceries,no_fraud
123,1689,2023-01-03 05:30:45,10.96,Purchase,AT&T,Home,no_fraud
124,3471,2023-01-03 05:55:36,20.9,Purchase,Amazon,Transportation,no_fraud
125,8200,2023-01-03 06:16:51,14.01,Purchase,State Farm,Entertainment,no_fraud
126,3826,2023-01-03 06:44:25,17.67,Purchase,Amazon Prime,Utilities,no_fraud
127,446,2023-01-03 06:57:51,25.33,Purchase,Kroger,Healthcare,no_fraud
128,9107,2023-01-03 07:01:33,19.35,Purchase,Subway,Entertainment,no_fraud
129,4280,2023-01-03 07:21:00,18.19,Purchase,Safeway,Groceries,no_fraud
130,4575,2023-01-03 07:40:33,26.22,Purchase,Comcast,Healthcare,no_fraud
131,6975,2023-01-03 07:46:49,14.82,Purchase,Amazon,Dining,no_fraud
132,8731,2023-01-03 07:47:04,10.8,Purchase,Uber,Shopping,no_fraud
133,9187,2023-01-03 07:47:49,14.59,Purchase,Instacart,Shopping,no_fraud
134,669,2023-01-03 08:19:17,14.08,Purchase,Medical Office,Shopping,no_fraud
135,6588,2023-01-03 08:45:46,17.43,Purchase,Pharmacy,Entertainment,no_fraud
136,743,2023-01-03 09:02:36,6.64,Purchase,Electronics Store,Utilities,no_fraud
137,7654,2023-01-03 09:29:19,17.65,Purchase,Toy Store,Shopping,no_fraud
138,5829,2023-01-03 09:58:39,1200.0,Withdrawal,N/A,Withdrawal,no_fraud
139,4407,2023-01-03 10:01:12,56.17,Purchase,Amazon Prime,Groceries,no_fraud
140,9119,2023-01-03 10:04:32,21.2,Purchase,Panera Bread,Transportation,no_fraud
141,6932,2023-01-03 10:07:41,17.93,Purchase,Florist,Healthcare,no_fraud
142,7700,2023-01-03 10:11:07,44.5,Purchase,Delta Airlines,Home,no_fraud
143,1847,2023-01-03 10:26:22,16.97,Purchase,Clothing Store,Education,no_fraud
144,7909,2023-01-03 10:44:42,28.12,Purchase,Sporting Goods,Entertainment,no_fraud
145,2870,2023-01-03 11:17:13,22.26,Purchase,McDonald's,Entertainment,no_fraud
146,5317,2023-01-03 11:49:39,17.25,Purchase,Uber,Entertainment,no_fraud
147,3656,2023-01-03 11:51:26,14.28,Purchase,McDonald's,Home,no_fraud
148,1652,2023-01-03 12:18:03,26.54,Purchase,State Farm,Utilities,no_fraud
149,2611,2023-01-03 12:22:50,37.41,Purchase,Panera Bread,Dining,no_fraud
150,455,2023-01-03 12:23:17,19.45,Purchase,Convenience Store,Utilities,no_fraud
151,6966,2023-01-03 13:29:18,32.82,Purchase,Publix,Shopping,no_fraud
152,6233,2023-01-03 13:48:46,40.66,Purchase,Sporting Goods,Travel,no_fraud
153,6020,2023-01-03 14:17:34,17.85,Purchase,State Farm,Groceries,no_fraud
154,2149,2023-01-03 15:03:10,55.28,Refund,Amazon Prime,Healthcare,no_fraud
155,5952,2023-01-03 15:27:58,21.07,Purchase,Walmart,Healthcare,no_fraud
156,7945,2023-01-03 16:46:51,43.73,Purchase,Pet Store,Utilities,no_fraud
157,3256,2023-01-03 16:48:59,12.57,Purchase,State Farm,Healthcare,no_fraud
158,7222,2023-01-03 17:02:39,276.03,Purchase,Whole Foods,Travel,no_fraud
159,5867,2023-01-03 17:22:22,17.83,Purchase,DoorDash,Shopping,no_fraud
160,9812,2023-01-03 19:19:04,15.24,Purchase,Auto Shop,Travel,no_fraud
161,4854,2023-01-03 19:31:45,30.86,Purchase,Bookstore,Transportation,no_fraud
162,1193,2023-01-03 19:32:32,1500.0,Withdrawal,N/A,Withdrawal,no_fraud
163,9194,2023-01-03 19:37:02,19.35,Purchase,Hardware Store,Home,no_fraud
164,9375,2023-01-03 19:55:45,9.81,Purchase,Amazon Prime,Utilities,no_fraud
165,9623,2023-01-03 20:05:26,43.55,Purchase,Pet Store,Shopping,no_fraud
166,7982,2023-01-03 20:32:15,335.03,Deposit,N/A,Deposit,no_fraud
167,4267,2023-01-03 20:35:41,37.02,Purchase,Trader Joe's,Healthcare,no_fraud
168,6431,2023-01-03 20:39:50,13.81,Purchase,CVS,Dining,no_fraud
169,2839,2023-01-03 20:54:10,15.59,Purchase,Florist,Transportation,no_fraud
170,4502,2023-01-03 20:55:36,445.31,Deposit,N/A,Deposit,no_fraud
171,1149,2023-01-03 21:29:45,13.1,Purchase,Costco,Transportation,no_fraud
172,5604,2023-01-03 21:43:58,28.23,Purchase,Walgreens,Travel,no_fraud
173,4027,2023-01-03 22:01:02,46.75,Purchase,Whole Foods,Healthcare,no_fraud
174,2150,2023-01-03 22:01:35,20.05,Purchase,Toy Store,Shopping,no_fraud
175,2455,2023-01-03 22:34:56,26.72,Purchase,Medical Office,Shopping,no_fraud
176,3668,2023-01-03 22:36:28,16.93,Purchase,Lyft,Groceries,no_fraud
177,9481,2023-01-03 23:10:59,800.0,Withdrawal,N/A,Withdrawal,no_fraud
178,8166,2023-01-03 23:12:37,11.9,Purchase,Best Buy,Shopping,no_fraud
179,8998,2023-01-03 23:42:00,18.32,Purchase,Pet Store,Home,no_fraud
180,9830,2023-01-04 00:02:11,139.72,Purchase,Kroger,Groceries,no_fraud
181,1910,2023-01-04 01:32:15,15.7,Purchase,Whole Foods,Healthcare,no_fraud
182,5297,2023-01-04 03:09:21,12.98,Purchase,Airbnb,Education,no_fraud
183,6345,2023-01-04 03:11:15,28.18,Purchase,Amazon,Dining,no_fraud
184,406,2023-01-04 03:33:49,13.84,Purchase,Walgreens,Groceries,no_fraud
185,7882,2023-01-04 03:54:27,20.8,Purchase,Spotify,Travel,no_fraud
186,7351,2023-01-04 04:16:26,12.43,Purchase,Hardware Store,Utilities,no_fraud
187,1172,2023-01-04 04:39:03,26.9,Purchase,Grocery Store,Home,no_fraud
188,9641,2023-01-04 04:59:01,23.3,Purchase,Furniture Store,Transportation,no_fraud
189,3985,2023-01-04 05:23:40,10.64,Purchase,Clothing Store,Utilities,no_fraud
190,4369,2023-01-04 05:50:24,116.61,Refund,Dunkin',Entertainment,no_fraud
191,9680,2023-01-04 06:51:16,3.72,Purchase,Clothing Store,Healthcare,no_fraud
192,3459,2023-01-04 06:52:50,18.28,Purchase,Sporting Goods,Dining,no_fraud
193,8389,2023-01-04 07:07:04,39.86,Purchase,Uber,Dining,no_fraud
194,7178,2023-01-04 07:14:25,21.18,Purchase,Geico,Transportation,no_fraud
195,3377,2023-01-04 07:17:51,11.46,Purchase,Jewelry Store,Dining,no_fraud
196,4079,2023-01-04 08:03:30,8.93,Purchase,Comcast,Utilities,no_fraud
197,8992,2023-01-04 08:16:00,43.41,Purchase,Uber,Utilities,no_fraud
198,8084,2023-01-04 08:37:57,19.36,Purchase,Gas Station,Transportation,no_fraud
199,514,2023-01-04 09:05:11,80.0,Withdrawal,N/A,Withdrawal,no_fraud
200,9876,2023-01-04 10:16:02,98.12,Purchase,Convenience Store,Travel,no_fraud
201,161,2023-01-04 11:39:06,17.99,Purchase,DoorDash,Healthcare,no_fraud
202,119,2023-01-04 11:41:10,19.41,Purchase,State Farm,Healthcare,no_fraud
203,341,2023-01-04 12:19:26,22.66,Purchase,Target,Utilities,no_fraud
204,3864,2023-01-04 12:48:05,33.99,Purchase,Chipotle,Utilities,no_fraud
205,4273,2023-01-04 12:48:58,179.87,Deposit,N/A,Deposit,no_fraud
206,6567,2023-01-04 14:00:57,24.89,Purchase,Jewelry Store,Travel,no_fraud
207,4578,2023-01-04 14:19:17,24.5,Purchase,T-Mobile,Travel,no_fraud
208,5179,2023-01-04 14:40:13,20.12,Purchase,Hulu,Home,no_fraud
209,9625,2023-01-04 14:43:29,23.17,Purchase,Hair Salon,Home,no_fraud
210,1558,2023-01-04 14:58:25,52.91,Purchase,Hilton Hotels,Entertainment,no_fraud
211,2888,2023-01-04 15:09:07,547.75,Deposit,N/A,Deposit,no_fraud
212,4315,2023-01-04 15:21:37,25.15,Purchase,Coffee Shop,Entertainment,no_fraud
213,5325,2023-01-04 15:59:38,26.46,Purchase,Lyft,Healthcare,no_fraud
214,9486,2023-01-04 16:07:53,835.72,Transfer,N/A,Transfer,no_fraud
215,626,2023-01-04 16:13:29,18.09,Purchase,Uber,Dining,no_fraud
216,6249,2023-01-04 16:25:29,19.43,Purchase,Kroger,Travel,no_fraud
217,3327,2023-01-04 16:49:29,11.46,Purchase,Dunkin',Healthcare,no_fraud
218,7314,2023-01-04 17:11:51,15.01,Purchase,McDonald's,Education,no_fraud
219,5886,2023-01-04 19:13:00,22.59,Purchase,Chipotle,Home,no_fraud
220,6064,2023-01-04 19:17:37,589.21,Deposit,N/A,Deposit,no_fraud
221,2286,2023-01-04 19:32:16,38.76,Purchase,State Farm,Entertainment,no_fraud
222,9774,2023-01-04 19:37:54,28.67,Purchase,T-Mobile,Transportation,no_fraud
223,9798,2023-01-04 19:51:58,19.06,Purchase,Home Depot,Education,no_fraud
224,706,2023-01-04 20:13:26,14.05,Purchase,Airbnb,Healthcare,no_fraud
225,301,2023-01-04 20:20:52,20.01,Purchase,Hulu,Travel,no_fraud
226,4379,2023-01-04 20:38:58,21.98,Purchase,Safeway,Dining,no_fraud
227,506,2023-01-04 20:39:21,3.35,Purchase,Amazon Prime,Groceries,no_fraud
228,8327,2023-01-04 21:06:16,14.1,Purchase,Walgreens,Home,no_fraud
229,7503,2023-01-04 21:07:32,35.88,Purchase,Furniture Store,Home,no_fraud
230,2582,2023-01-04 21:14:22,22.51,Purchase,Hulu,Utilities,no_fraud
231,528,2023-01-04 21:38:38,11.41,Purchase,Pet Store,Transportation,no_fraud
232,6677,2023-01-04 21:46:02,320.0,Withdrawal,N/A,Withdrawal,no_fraud
233,778,2023-01-04 22:21:59,28.75,Purchase,Pet Store,Home,no_fraud
234,1922,2023-01-04 22:43:27,7.2,Purchase,Amazon Prime,Entertainment,no_fraud
235,7981,2023-01-04 23:26:06,29.48,Purchase,Toy Store,Utilities,no_fraud
236,4663,2023-01-04 23:35:53,1000.0,Withdrawal,N/A,Withdrawal,no_fraud
237,1879,2023-01-04 23:42:31,51.64,Purchase,Spotify,Home,no_fraud
238,7671,2023-01-05 00:00:40,19.08,Purchase,Walgreens,Healthcare,no_fraud
239,2201,2023-01-05 00:11:50,11.99,Purchase,Medical Office,Healthcare,no_fraud
240,1432,2023-01-05 01:40:36,17.09,Purchase,Pharmacy,Education,no_fraud
241,3417,2023-01-05 01:48:42,23.34,Purchase,Lyft,Utilities,no_fraud
242,4453,2023-01-05 02:01:23,227.61,Refund,Spotify,Utilities,no_fraud
243,4131,2023-01-05 02:05:24,8.9,Purchase,Dental Office,Home,no_fraud
244,3124,2023-01-05 02:11:03,15.49,Purchase,Microsoft,Shopping,no_fraud
245,4815,2023-01-05 02:56:20,10.96,Purchase,Whole Foods,Education,no_fraud
246,1993,2023-01-05 03:02:20,14.53,Purchase,Convenience Store,Home,no_fraud
247,5514,2023-01-05 03:17:54,12.21,Purchase,Costco,Dining,no_fraud
248,6120,2023-01-05 03:48:04,14.29,Purchase,Sporting Goods,Home,no_fraud
249,1788,2023-01-05 04:19:34,31.96,Purchase,Exxon,Travel,no_fraud
250,4838,2023-01-05 04:29:22,38.1,Purchase,CVS,Healthcare,no_fraud
251,3277,2023-01-05 06:24:31,27.82,Purchase,Walmart,Entertainment,no_fraud
252,6805,2023-01-05 07:23:20,30.68,Purchase,Apple,Utilities,no_fraud
253,1033,2023-01-05 07:42:39,34.19,Purchase,Verizon,Healthcare,no_fraud
254,2241,2023-01-05 07:53:08,42.29,Purchase,Toy Store,Groceries,no_fraud
255,8286,2023-01-05 08:13:21,95.59,Purchase,Spotify,Groceries,no_fraud
256,9806,2023-01-05 09:23:07,16.35,Purchase,AT&T,Utilities,no_fraud
257,9631,2023-01-05 09:40:45,74.38,Purchase,Sporting Goods,Entertainment,no_fraud
258,4736,2023-01-05 11:30:42,22.02,Purchase,Coffee Shop,Home,no_fraud
259,2594,2023-01-05 12:24:03,26.48,Purchase,Subway,Transportation,no_fraud
260,147,2023-01-05 12:35:30,24.51,Purchase,Target,Education,no_fraud
261,6548,2023-01-05 13:09:36,11.44,Purchase,Grocery Store,Shopping,no_fraud
262,4044,2023-01-05 13:12:48,4.83,Purchase,Safeway,Entertainment,no_fraud
263,5499,2023-01-05 13:19:33,12.69,Purchase,Dental Office,Groceries,no_fraud
264,5868,2023-01-05 13:32:34,28.97,Purchase,HBO Max,Dining,no_fraud
265,2203,2023-01-05 13:56:11,16.35,Purchase,Target,Home,no_fraud
266,5806,2023-01-05 14:10:42,27.24,Purchase,Hardware Store,Healthcare,no_fraud
267,4863,2023-01-05 14:30:22,31.2,Purchase,Amazon Prime,Shopping,no_fraud
268,176,2023-01-05 14:33:08,33.39,Purchase,HBO Max,Utilities,no_fraud
269,8691,2023-01-05 14:51:50,8.4,Purchase,Trader Joe's,Shopping,no_fraud
270,9245,2023-01-05 15:07:52,20.71,Purchase,Hulu,Groceries,no_fraud
271,8678,2023-01-05 17:10:28,17.07,Purchase,Auto Shop,Entertainment,no_fraud
272,9631,2023-01-05 17:18:30,8.86,Purchase,Department Store,Entertainment,no_fraud
273,1189,2023-01-05 18:24:21,18.64,Purchase,Amazon Prime,Education,no_fraud
274,7068,2023-01-05 18:36:31,44.61,Purchase,Trader Joe's,Shopping,no_fraud
275,6576,2023-01-05 18:41:44,2024.72,Transfer,N/A,Transfer,no_fraud
276,8734,2023-01-05 18:43:59,19.55,Purchase,Whole Foods,Shopping,no_fraud
277,2763,2023-01-05 18:58:56,1309.28,Transfer,N/A,Transfer,no_fraud
278,4535,2023-01-05 19:08:13,18.73,Purchase,Lyft,Healthcare,no_fraud
279,4487,2023-01-05 19:49:16,7.88,Purchase,Publix,Travel,no_fraud
280,4,2023-01-05 22:05:42,52.17,Purchase,Verizon,Entertainment,no_fraud
281,4919,2023-01-06 00:26:01,21.54,Purchase,Disney+,Utilities,no_fraud
282,5378,2023-01-06 01:09:40,10.49,Purchase,Enterprise,Healthcare,no_fraud
283,2466,2023-01-06 03:39:49,12.54,Purchase,Grocery Store,Healthcare,no_fraud
284,5051,2023-01-06 03:41:35,69.26,Purchase,Uber,Dining,no_fraud
285,7447,2023-01-06 03:45:46,15.02,Purchase,Lyft,Travel,no_fraud
286,7374,2023-01-06 03:55:03,15.4,Purchase,Shell,Travel,no_fraud
287,1291,2023-01-06 04:53:19,12.52,Purchase,Pharmacy,Dining,no_fraud
288,2768,2023-01-06 05:24:48,24.92,Purchase,Exxon,Education,no_fraud
289,3581,2023-01-06 05:44:08,10.24,Purchase,Subway,Education,no_fraud
290,5500,2023-01-06 06:39:59,20.0,Withdrawal,N/A,Withdrawal,no_fraud
291,9110,2023-01-06 07:10:06,27.05,Purchase,Home Depot,Utilities,no_fraud
292,8613,2023-01-06 07:19:11,13.33,Purchase,McDonald's,Transportation,no_fraud
293,6405,2023-01-06 07:39:37,18.51,Purchase,Dental Office,Transportation,no_fraud
294,7037,2023-01-06 07:52:03,13.45,Purchase,Microsoft,Groceries,no_fraud
295,3631,2023-01-06 07:52:15,20.84,Purchase,Walgreens,Utilities,no_fraud
296,6153,2023-01-06 08:13:34,5614.36,Transfer,N/A,Transfer,no_fraud
297,1633,2023-01-06 09:22:05,27.82,Purchase,Costco,Home,no_fraud
298,5094,2023-01-06 09:26:17,24.0,Purchase,Trader Joe's,Shopping,no_fraud
299,1696,2023-01-06 10:02:33,16.73,Purchase,Department Store,Dining,no_fraud
300,8863,2023-01-06 10:59:32,29.71,Purchase,Publix,Groceries,no_fraud
301,3415,2023-01-06 11:52:35,15.72,Purchase,Coffee Shop,Entertainment,no_fraud
302,9653,2023-01-06 12:22:08,7.19,Purchase,Disney+,Groceries,no_fraud
303,6046,2023-01-06 12:31:03,32.78,Purchase,Hilton Hotels,Education,no_fraud
304,8482,2023-01-06 12:32:35,12.03,Purchase,Starbucks,Home,no_fraud
305,9743,2023-01-06 12:57:44,7.72,Purchase,Hardware Store,Entertainment,no_fraud
306,4395,2023-01-06 15:02:12,18.98,Purchase,T-Mobile,Healthcare,no_fraud
307,5152,2023-01-06 15:03:11,9.42,Purchase,Local Restaurant,Dining,no_fraud
308,4650,2023-01-06 15:22:32,16.25,Purchase,Lyft,Healthcare,no_fraud
309,4005,2023-01-06 15:33:29,17.39,Purchase,Home Depot,Dining,no_fraud
310,965,2023-01-06 15:46:45,500.0,Withdrawal,N/A,Withdrawal,no_fraud
311,163,2023-01-06 16:16:15,18.22,Purchase,Lyft,Home,no_fraud
312,7862,2023-01-06 16:31:45,12.03,Purchase,McDonald's,Travel,no_fraud
313,2762,2023-01-06 17:02:36,17.73,Purchase,Toy Store,Dining,no_fraud
314,5297,2023-01-06 17:21:06,12.85,Purchase,Airbnb,Education,no_fraud
315,2839,2023-01-06 18:16:23,2000.0,Withdrawal,N/A,Withdrawal,no_fraud
316,7141,2023-01-06 18:53:58,18.27,Purchase,Grocery Store,Healthcare,no_fraud
317,7068,2023-01-06 18:58:01,21.25,Purchase,Amazon Prime,Shopping,no_fraud
318,8894,2023-01-06 19:03:28,11.13,Purchase,Panera Bread,Transportation,no_fraud
319,4067,2023-01-06 19:22:46,733.23,Deposit,N/A,Deposit,no_fraud
