liability_id,customer_id,loan_amount,lender_name
70,5537,575000.0,First National Bank
71,5924,2000.0,Regions Bank
72,7820,7000.0,Wells Fargo
73,6486,132000.0,Goldman Sachs
74,2894,205000.0,Wells Fargo
75,7349,184000.0,TD Bank
76,7980,257000.0,American Express
77,1929,337000.0,Ally Financial
78,1195,72000.0,Union Bank
79,7563,311000.0,Wells Fargo
80,726,276000.0,Union Bank
81,1188,439000.0,Citibank
82,778,20000.0,BMO Harris
83,4164,237000.0,KeyBank
84,6007,143000.0,State Farm Bank
85,3069,48000.0,Barclays
86,3015,550000.0,Synchrony Financial
87,5641,56000.0,KeyBank
88,9414,394000.0,M&T Bank
89,4555,395000.0,TD Bank
90,7741,410000.0,Union Bank
91,9039,12000.0,Wells Fargo
92,1869,6000.0,Ally Financial
93,77,144000.0,Synchrony Financial
94,8952,167000.0,Charles Schwab Bank
95,1511,267000.0,Bank of America
96,7552,69000.0,Ally Financial
97,1441,755000.0,Regions Bank
98,9105,194000.0,USAA
99,383,35000.0,Goldman Sachs
100,6032,230000.0,Huntington Bank
101,2831,6000.0,Ally Financial
102,3997,577000.0,Ally Financial
103,9372,87000.0,KeyBank
104,1734,383000.0,USAA
105,8695,84000.0,TD Bank
106,498,192000.0,BMO Harris
107,1692,318000.0,State Farm Bank
108,9330,236000.0,SunTrust
109,6690,56000.0,SunTrust
110,4325,119000.0,PNC Bank
111,3158,406000.0,Goldman Sachs
112,3519,359000.0,Chase Bank
113,3384,108000.0,Union Bank
114,1538,230000.0,HSBC
115,2659,249000.0,Bank of America
116,6678,78000.0,Union Bank
117,5716,115000.0,SunTrust
118,2805,769000.0,Charles Schwab Bank
119,4112,57000.0,Navy Federal Credit Union
120,1033,158000.0,Goldman Sachs
121,5521,184000.0,Fifth Third Bank
122,1091,36000.0,Regions Bank
123,7728,789000.0,HSBC
124,1461,187000.0,BB&T
125,5027,191000.0,Bank of America
126,4431,136000.0,M&T Bank
127,1862,115000.0,American Express
128,7933,19000.0,Union Bank
129,9118,181000.0,M&T Bank
130,5373,204000.0,Bank of America
131,3966,140000.0,Capital One
132,5589,3000.0,American Express
133,3048,101000.0,Navy Federal Credit Union
134,7025,823000.0,BMO Harris
135,8138,590000.0,Comerica Bank
136,199,14000.0,Comerica Bank
137,8130,112000.0,Regions Bank
138,1499,668000.0,State Farm Bank
139,1507,33000.0,Fifth Third Bank
140,7329,210000.0,Charles Schwab Bank
141,6021,138000.0,State Farm Bank
142,1094,606000.0,First National Bank
143,95,279000.0,Chase Bank
144,9727,64000.0,Citibank
145,9635,33000.0,Barclays
146,7713,6000.0,First National Bank
147,6600,365000.0,Chase Bank
148,5203,282000.0,Citizens Bank
149,3998,6000.0,Huntington Bank
150,4023,135000.0,Citibank
151,834,109000.0,Ally Financial
152,6629,159000.0,Bank of America
153,7591,87000.0,Regions Bank
154,5197,55000.0,State Farm Bank
155,2981,8000.0,Huntington Bank
156,3762,1040000.0,US Bank
157,8201,291000.0,Goldman Sachs
158,4493,3000.0,Santander
159,7700,741000.0,Zions Bank
160,921,965000.0,Fifth Third Bank
161,8279,318000.0,Discover
162,9576,84000.0,Ally Financial
163,5709,81000.0,Barclays
164,5159,50000.0,Synchrony Financial
165,5112,143000.0,SunTrust
166,5642,49000.0,BB&T
167,1842,3000.0,US Bank
168,9231,199000.0,USAA
169,4625,113000.0,KeyBank
170,358,153000.0,Zions Bank
171,4028,150000.0,Charles Schwab Bank
172,257,4000.0,PNC Bank
173,9047,85000.0,Zions Bank
174,6374,127000.0,Regions Bank
175,9204,100000.0,BB&T
176,1284,87000.0,Santander
177,575,164000.0,Union Bank
178,5436,526000.0,Citizens Bank
179,4039,932000.0,Citibank
180,8,272000.0,Union Bank
181,2076,901000.0,PNC Bank
182,7815,3000.0,Union Bank
183,2418,174000.0,Citizens Bank
184,7322,97000.0,PNC Bank
185,6372,81000.0,US Bank
186,8314,12000.0,Regions Bank
187,5443,124000.0,PNC Bank
188,6475,191000.0,HSBC
189,4771,126000.0,Huntington Bank
190,1568,310000.0,Discover
191,1890,186000.0,Huntington Bank
192,6243,71000.0,USAA
193,2946,380000.0,Santander
194,1499,885000.0,Charles Schwab Bank
195,5609,26000.0,M&T Bank
196,9358,123000.0,BMO Harris
197,8804,189000.0,Huntington Bank
198,3002,87000.0,Chase Bank
199,1782,2000.0,Chase Bank
200,8203,72000.0,Charles Schwab Bank
201,9312,357000.0,Wells Fargo
202,7799,51000.0,First National Bank
203,6567,99000.0,Ally Financial
204,4219,534000.0,Synchrony Financial
205,2143,3000.0,US Bank
206,288,181000.0,Barclays
207,9664,59000.0,TD Bank
208,9431,53000.0,Citizens Bank
209,743,315000.0,Chase Bank
210,2583,457000.0,Ally Financial
211,1317,388000.0,State Farm Bank
212,7762,214000.0,Santander
213,370,87000.0,Barclays
214,4243,220000.0,Synchrony Financial
215,2952,122000.0,TD Bank
216,2511,259000.0,Capital One
217,1471,40000.0,First National Bank
218,7472,3000.0,Barclays
219,8058,446000.0,M&T Bank
220,9681,737000.0,Union Bank
221,6101,92000.0,Huntington Bank
222,2173,229000.0,Huntington Bank
223,5362,222000.0,HSBC
224,6067,9000.0,Goldman Sachs
225,1777,84000.0,Discover
226,705,143000.0,State Farm Bank
227,7277,110000.0,Ally Financial
228,9548,614000.0,Charles Schwab Bank
229,8135,74000.0,SunTrust
230,6488,98000.0,BMO Harris
231,7150,181000.0,USAA
232,4441,388000.0,Zions Bank
233,3592,317000.0,Navy Federal Credit Union
234,8655,306000.0,American Express
235,5233,78000.0,SunTrust
236,8759,40000.0,Goldman Sachs
237,2951,109000.0,Bank of America
238,1312,216000.0,Capital One
239,1612,281000.0,Regions Bank
240,3418,483000.0,Regions Bank
241,1484,397000.0,Bank of America
242,4261,211000.0,Ally Financial
243,5260,227000.0,Synchrony Financial
244,1531,74000.0,SunTrust
245,3535,420000.0,KeyBank
246,3081,227000.0,Citizens Bank
247,4066,55000.0,Regions Bank
248,9554,463000.0,Citizens Bank
249,8111,211000.0,Barclays
250,3522,307000.0,Charles Schwab Bank
251,8859,48000.0,Zions Bank
252,3483,3000.0,Zions Bank
253,5594,684000.0,Goldman Sachs
254,1573,431000.0,Barclays
255,6033,51000.0,USAA
256,1638,197000.0,USAA
257,8949,210000.0,BB&T
258,6763,36000.0,TD Bank
259,2245,3000.0,State Farm Bank
260,1919,111000.0,TD Bank
261,2351,39000.0,Goldman Sachs
262,2215,60000.0,Huntington Bank
263,5973,46000.0,Zions Bank
264,1212,581000.0,Barclays
265,6808,265000.0,Regions Bank
266,6039,169000.0,KeyBank
267,8319,172000.0,Santander
268,8649,23000.0,USAA
269,2936,93000.0,Huntington Bank
270,4161,90000.0,Barclays
271,7890,48000.0,US Bank
272,8153,202000.0,Zions Bank
273,3619,81000.0,BMO Harris
274,6399,188000.0,SunTrust
275,4131,84000.0,Regions Bank
276,8101,80000.0,Santander
277,4086,394000.0,State Farm Bank
278,3726,21000.0,Navy Federal Credit Union
279,1082,500000.0,Comerica Bank
280,9003,59000.0,US Bank
281,3618,70000.0,BMO Harris
282,4788,116000.0,Wells Fargo
283,7672,1486000.0,HSBC
284,1349,34000.0,Navy Federal Credit Union
285,9970,45000.0,First National Bank
286,8976,669000.0,Comerica Bank
287,6512,148000.0,BMO Harris
288,2412,163000.0,TD Bank
289,9746,160000.0,Discover
290,8226,39000.0,Zions Bank
291,3945,184000.0,Discover
292,5019,21000.0,Chase Bank
293,61,164000.0,Bank of America
294,758,588000.0,BMO Harris
295,4891,4000.0,Comerica Bank
296,7148,266000.0,Citizens Bank
297,9179,3000.0,PNC Bank
298,1485,920000.0,American Express
299,4661,182000.0,Charles Schwab Bank
300,2593,9000.0,Comerica Bank
301,5722,376000.0,TD Bank
302,8393,42000.0,Union Bank
303,8783,467000.0,Bank of America
304,3028,282000.0,BMO Harris
305,8959,131000.0,Santander
306,8928,103000.0,Ally Financial
307,3272,282000.0,Goldman Sachs
308,429,376000.0,Fifth Third Bank
309,304,385000.0,American Express
310,5628,1000.0,American Express
311,1527,148000.0,Capital One
312,9609,6000.0,Fifth Third Bank
313,4279,505000.0,Citizens Bank
314,113,114000.0,Wells Fargo
315,8082,65000.0,TD Bank
316,6925,3000.0,Capital One
317,829,158000.0,KeyBank
318,5444,43000.0,State Farm Bank
319,5664,815000.0,Regions Bank
320,6650,270000.0,Navy Federal Credit Union
321,7720,140000.0,USAA
322,782,64000.0,US Bank
323,349,696000.0,Santander
324,9923,2000.0,Comerica Bank
325,4349,379000.0,HSBC
326,566,292000.0,Santander
327,8664,189000.0,Charles Schwab Bank
328,4023,203000.0,Bank of America
329,3933,2000.0,US Bank
330,3871,70000.0,USAA
331,1598,89000.0,BB&T
332,4480,401000.0,Fifth Third Bank
333,4670,297000.0,Huntington Bank
334,2343,100000.0,KeyBank
335,6176,19000.0,Fifth Third Bank
336,3345,108000.0,Charles Schwab Bank
337,9575,99000.0,Chase Bank
338,8742,31000.0,PNC Bank
339,9710,578000.0,Citibank
340,3386,823000.0,PNC Bank
341,7624,205000.0,Chase Bank
342,2873,6000.0,Synchrony Financial
343,8765,181000.0,SunTrust
344,3122,275000.0,Charles Schwab Bank
345,109,358000.0,TD Bank
346,3399,788000.0,Regions Bank
347,4093,740000.0,Huntington Bank
348,2496,8000.0,Huntington Bank
349,4085,305000.0,HSBC
350,4918,338000.0,M&T Bank
351,5832,541000.0,Santander
352,3669,286000.0,Citizens Bank
353,5289,193000.0,Synchrony Financial
354,7135,201000.0,Wells Fargo
355,740,131000.0,Regions Bank
356,8566,8000.0,US Bank
357,5123,266000.0,Zions Bank
358,136,426000.0,Barclays
359,5808,160000.0,Charles Schwab Bank
360,3134,40000.0,American Express
361,4147,80000.0,SunTrust
362,1061,10000.0,KeyBank
363,2757,74000.0,M&T Bank
364,4497,270000.0,HSBC
365,8431,55000.0,BB&T
366,2232,696000.0,Union Bank
367,3998,287000.0,Ally Financial
368,8110,23000.0,Santander
369,9579,59000.0,SunTrust
370,859,67000.0,Ally Financial
371,1380,165000.0,Citizens Bank
372,8011,67000.0,Bank of America
373,1006,135000.0,Chase Bank
374,5101,151000.0,HSBC
375,9440,165000.0,SunTrust
376,6393,55000.0,BB&T
377,4296,247000.0,Navy Federal Credit Union
378,2472,159000.0,Bank of America
379,5583,84000.0,Charles Schwab Bank
380,8287,991000.0,Fifth Third Bank
381,8311,5000.0,PNC Bank
382,7062,416000.0,Chase Bank
383,2912,25000.0,Synchrony Financial
384,9186,52000.0,SunTrust
385,5628,109000.0,Goldman Sachs
386,4790,149000.0,PNC Bank
387,8776,258000.0,Ally Financial
388,9406,153000.0,USAA
389,7202,159000.0,First National Bank
390,8157,57000.0,Barclays
391,5875,15000.0,Citizens Bank
392,7562,197000.0,TD Bank
393,9252,55000.0,Fifth Third Bank
394,2439,3000.0,BMO Harris
395,8340,78000.0,First National Bank
396,7216,74000.0,TD Bank
397,8150,287000.0,Bank of America
398,9103,498000.0,Huntington Bank
399,6424,81000.0,SunTrust
400,3753,457000.0,Zions Bank
401,7540,56000.0,KeyBank
402,7879,6000.0,State Farm Bank
403,6419,25000.0,Santander
404,3519,293000.0,Huntington Bank
405,9491,146000.0,Discover
406,8560,1000.0,Chase Bank
407,3810,143000.0,Wells Fargo
408,8703,155000.0,KeyBank
409,4439,122000.0,Fifth Third Bank
410,977,449000.0,HSBC
411,8907,487000.0,Charles Schwab Bank
412,4991,260000.0,Regions Bank
413,6148,82000.0,Synchrony Financial
414,1565,148000.0,Citibank
415,6734,243000.0,Ally Financial
416,7805,364000.0,State Farm Bank
417,1481,106000.0,Bank of America
418,2652,342000.0,State Farm Bank
419,991,155000.0,Comerica Bank
420,3070,92000.0,Citibank
421,9343,496000.0,TD Bank
422,2154,182000.0,Citibank
423,9002,64000.0,Charles Schwab Bank
424,6205,870000.0,American Express
425,4399,197000.0,Citibank
426,694,380000.0,PNC Bank
427,1562,246000.0,Santander
428,9874,133000.0,Citibank
429,1262,241000.0,Capital One
430,6336,3000.0,Santander
431,7145,182000.0,Wells Fargo
432,7775,116000.0,Fifth Third Bank
433,5648,67000.0,Citizens Bank
434,9812,8000.0,US Bank
435,9735,892000.0,Navy Federal Credit Union
436,5181,69000.0,M&T Bank
437,3578,105000.0,Ally Financial
438,5132,129000.0,Regions Bank
439,4869,192000.0,Barclays
440,61,210000.0,Capital One
441,2507,505000.0,USAA
442,4223,18000.0,American Express
443,1428,366000.0,Union Bank
444,6192,60000.0,KeyBank
445,320,356000.0,Bank of America
446,1356,319000.0,Fifth Third Bank
447,5785,450000.0,Regions Bank
448,9194,82000.0,Chase Bank
449,3602,102000.0,Wells Fargo
450,800,408000.0,Wells Fargo
451,7190,384000.0,Capital One
452,2156,126000.0,Regions Bank
453,1815,9000.0,M&T Bank
454,4315,246000.0,HSBC
455,195,221000.0,Navy Federal Credit Union
456,9816,284000.0,Chase Bank
457,240,386000.0,First National Bank
458,7914,88000.0,Zions Bank
459,3946,47000.0,Wells Fargo
460,3366,379000.0,Zions Bank
461,8198,693000.0,Ally Financial
462,5836,129000.0,Comerica Bank
463,8129,546000.0,Charles Schwab Bank
464,277,44000.0,Regions Bank
465,6079,2000.0,Regions Bank
466,7259,66000.0,HSBC
467,9461,495000.0,Wells Fargo
468,4591,287000.0,HSBC
469,1746,671000.0,First National Bank
470,5663,75000.0,Goldman Sachs
471,2380,67000.0,Capital One
472,4579,4000.0,Discover
473,6513,49000.0,First National Bank
474,9553,148000.0,Chase Bank
475,3515,134000.0,Citibank
476,2266,14000.0,Fifth Third Bank
477,4480,2000.0,HSBC
478,311,242000.0,Discover
479,6483,76000.0,State Farm Bank
480,5995,4000.0,Citibank
481,74,44000.0,USAA
482,1564,216000.0,US Bank
483,7977,78000.0,Citizens Bank
484,1646,92000.0,Ally Financial
485,9842,95000.0,Barclays
486,291,35000.0,HSBC
487,2008,358000.0,Charles Schwab Bank
488,4639,41000.0,Union Bank
489,8095,37000.0,State Farm Bank
490,7565,85000.0,KeyBank
491,5876,86000.0,First National Bank
492,9626,930000.0,Huntington Bank
493,7165,280000.0,Regions Bank
494,5433,134000.0,Union Bank
495,3643,249000.0,Charles Schwab Bank
496,5422,29000.0,Wells Fargo
497,5971,10000.0,Navy Federal Credit Union
498,1265,114000.0,BB&T
499,6753,83000.0,SunTrust
500,9543,510000.0,Citibank
501,1387,104000.0,Charles Schwab Bank
502,5794,314000.0,Charles Schwab Bank
503,2649,81000.0,Chase Bank
504,9001,257000.0,Zions Bank
505,3688,652000.0,Wells Fargo
506,616,132000.0,State Farm Bank
507,4309,77000.0,PNC Bank
508,8661,35000.0,US Bank
509,5050,132000.0,M&T Bank
510,5230,180000.0,Charles Schwab Bank
511,6339,81000.0,State Farm Bank
512,242,900000.0,Bank of America
513,173,58000.0,Synchrony Financial
514,3150,54000.0,American Express
515,6186,200000.0,Goldman Sachs
516,3661,540000.0,Discover
517,2415,131000.0,Chase Bank
518,1267,66000.0,Navy Federal Credit Union
519,9127,49000.0,USAA
520,4323,265000.0,KeyBank
521,9373,2000.0,Huntington Bank
522,4426,450000.0,Navy Federal Credit Union
523,6091,2000.0,Navy Federal Credit Union
524,4721,47000.0,Charles Schwab Bank
525,2652,414000.0,Ally Financial
526,3558,351000.0,State Farm Bank
527,6586,8000.0,Zions Bank
528,4176,81000.0,KeyBank
529,3812,64000.0,Wells Fargo
530,8339,184000.0,State Farm Bank
531,7451,811000.0,Union Bank
532,467,642000.0,Zions Bank
533,9948,99000.0,SunTrust
534,8462,88000.0,Fifth Third Bank
535,3652,133000.0,Citibank
536,9112,729000.0,KeyBank
537,3804,480000.0,TD Bank
538,8784,371000.0,BMO Harris
539,2048,122000.0,USAA
540,8276,54000.0,Goldman Sachs
541,7681,17000.0,Citibank
542,7795,220000.0,HSBC
543,4877,9000.0,Union Bank
544,4830,43000.0,State Farm Bank
545,9669,59000.0,Synchrony Financial
546,5211,9000.0,Citibank
547,8080,87000.0,Chase Bank
548,5740,80000.0,Navy Federal Credit Union
549,1055,6000.0,Wells Fargo
550,2343,1000.0,Chase Bank
551,4537,119000.0,Goldman Sachs
552,6581,46000.0,Navy Federal Credit Union
553,9181,6000.0,Capital One
554,3513,193000.0,First National Bank
555,6307,77000.0,Regions Bank
556,2034,458000.0,Ally Financial
557,6700,32000.0,Union Bank
558,8701,9000.0,Huntington Bank
559,6082,531000.0,Capital One
560,821,370000.0,USAA
561,4341,121000.0,BMO Harris
562,9960,150000.0,USAA
563,7497,93000.0,Charles Schwab Bank
564,3307,198000.0,Regions Bank
565,4917,39000.0,Wells Fargo
566,8500,80000.0,American Express
567,6584,48000.0,Wells Fargo
568,4580,115000.0,Capital One
569,8173,388000.0,Regions Bank
570,3270,3000.0,Citizens Bank
571,1842,117000.0,Comerica Bank
572,586,535000.0,Wells Fargo
573,6332,404000.0,Citibank
574,7448,131000.0,American Express
575,3975,181000.0,Zions Bank
576,5820,81000.0,Comerica Bank
577,5653,8000.0,Zions Bank
578,9481,44000.0,PNC Bank
579,9126,46000.0,Synchrony Financial
580,430,106000.0,Capital One
581,3233,33000.0,Synchrony Financial
582,9776,87000.0,USAA
583,1675,102000.0,Regions Bank
584,2787,32000.0,SunTrust
585,7202,132000.0,Navy Federal Credit Union
586,4910,415000.0,KeyBank
587,3268,296000.0,Union Bank
588,4833,129000.0,Fifth Third Bank
589,2022,187000.0,Santander
590,1084,94000.0,TD Bank
591,3636,270000.0,TD Bank
592,8310,123000.0,BB&T
593,7775,155000.0,TD Bank
594,5043,19000.0,Citibank
595,2715,38000.0,HSBC
596,5996,75000.0,Fifth Third Bank
597,3613,162000.0,US Bank
598,5617,8000.0,Synchrony Financial
599,3425,166000.0,TD Bank
600,9662,7000.0,Wells Fargo
601,8593,246000.0,Discover
602,9127,36000.0,Bank of America
603,2527,173000.0,SunTrust
604,4972,36000.0,Barclays
605,1631,32000.0,Barclays
606,4676,803000.0,Zions Bank
607,3086,277000.0,M&T Bank
608,3977,145000.0,Santander
609,1218,568000.0,Fifth Third Bank
610,3572,52000.0,Goldman Sachs
611,9133,212000.0,Fifth Third Bank
612,6610,84000.0,PNC Bank
613,9990,770000.0,Charles Schwab Bank
614,8107,183000.0,Zions Bank
615,2241,137000.0,Capital One
616,3583,419000.0,State Farm Bank
617,1893,195000.0,BB&T
618,3704,9000.0,Zions Bank
619,1844,598000.0,SunTrust
620,3100,69000.0,Goldman Sachs
621,1965,652000.0,First National Bank
622,6765,122000.0,First National Bank
623,394,114000.0,M&T Bank
624,6608,141000.0,Goldman Sachs
625,8921,49000.0,American Express
626,5963,641000.0,Regions Bank
627,4749,168000.0,HSBC
628,9572,119000.0,Charles Schwab Bank
629,6299,7000.0,State Farm Bank
630,3881,749000.0,Citizens Bank
631,4807,66000.0,TD Bank
632,7341,29000.0,Synchrony Financial
633,2266,26000.0,Navy Federal Credit Union
634,7864,140000.0,Navy Federal Credit Union
635,7234,450000.0,Huntington Bank
636,3564,409000.0,American Express
637,9246,212000.0,PNC Bank
638,9781,9000.0,SunTrust
639,533,42000.0,USAA
640,1670,299000.0,TD Bank
641,1989,81000.0,Synchrony Financial
642,1684,35000.0,Ally Financial
643,3146,32000.0,Discover
644,6792,174000.0,Ally Financial
645,2298,279000.0,Synchrony Financial
646,1700,112000.0,USAA
647,6217,59000.0,KeyBank
648,3559,126000.0,PNC Bank
649,7695,123000.0,Citibank
650,5543,59000.0,BB&T
651,9942,150000.0,BB&T
652,8414,6000.0,HSBC
653,557,4000.0,PNC Bank
654,3515,132000.0,Bank of America
655,2412,189000.0,KeyBank
656,9840,80000.0,KeyBank
657,9000,238000.0,USAA
658,8213,507000.0,American Express
659,4395,359000.0,Capital One
660,2979,162000.0,Zions Bank
661,495,349000.0,Discover
662,8761,529000.0,Ally Financial
663,4039,870000.0,Ally Financial
664,665,151000.0,Discover
665,6100,21000.0,Bank of America
666,7520,104000.0,HSBC
667,1714,69000.0,State Farm Bank
668,7258,151000.0,Huntington Bank
669,1966,44000.0,Ally Financial
670,1378,151000.0,Regions Bank
671,2573,9000.0,Citibank
672,257,360000.0,PNC Bank
673,1587,162000.0,Bank of America
674,7272,75000.0,Synchrony Financial
675,8557,168000.0,Goldman Sachs
676,1659,169000.0,Synchrony Financial
677,9040,214000.0,Santander
678,2245,77000.0,State Farm Bank
679,1235,187000.0,Goldman Sachs
680,2641,120000.0,Comerica Bank
681,1885,29000.0,Discover
682,3077,75000.0,TD Bank
683,8854,255000.0,SunTrust
684,2479,247000.0,M&T Bank
685,2445,383000.0,PNC Bank
686,5019,70000.0,State Farm Bank
687,6070,214000.0,Ally Financial
688,5797,32000.0,Citizens Bank
689,7359,181000.0,PNC Bank
690,7633,110000.0,BB&T
691,7933,39000.0,Union Bank
692,916,7000.0,KeyBank
693,6683,305000.0,PNC Bank
694,8279,302000.0,Bank of America
695,7966,189000.0,Fifth Third Bank
696,6080,66000.0,Fifth Third Bank
697,2399,495000.0,Discover
698,484,135000.0,State Farm Bank
699,7952,25000.0,State Farm Bank
700,6886,830000.0,Bank of America
701,7594,65000.0,KeyBank
702,8029,76000.0,KeyBank
703,281,89000.0,Huntington Bank
704,5227,247000.0,US Bank
705,605,139000.0,Chase Bank
706,3142,146000.0,TD Bank
707,3167,105000.0,TD Bank
708,2107,194000.0,Zions Bank
709,1078,177000.0,Synchrony Financial
710,3447,150000.0,BMO Harris
711,586,644000.0,Regions Bank
712,807,5000.0,Comerica Bank
713,6817,353000.0,USAA
714,5473,1045000.0,Synchrony Financial
715,8301,146000.0,Zions Bank
716,7897,69000.0,State Farm Bank
717,3853,311000.0,M&T Bank
718,375,455000.0,PNC Bank
719,7775,111000.0,HSBC
720,9140,51000.0,M&T Bank
721,6963,457000.0,Chase Bank
722,7681,55000.0,SunTrust
723,1852,1276000.0,Ally Financial
724,7771,106000.0,Navy Federal Credit Union
725,5388,360000.0,Barclays
726,160,50000.0,Chase Bank
727,1712,131000.0,BMO Harris
728,4708,88000.0,Bank of America
729,2449,2000.0,Regions Bank
730,3995,496000.0,Synchrony Financial
731,1953,10000.0,BB&T
732,2602,208000.0,TD Bank
733,1425,21000.0,Chase Bank
734,7258,200000.0,Bank of America
735,6107,168000.0,Barclays
736,9867,9000.0,M&T Bank
737,6847,232000.0,Comerica Bank
738,6866,40000.0,Wells Fargo
739,1005,38000.0,US Bank
740,8479,175000.0,Regions Bank
741,5984,12000.0,Navy Federal Credit Union
742,2358,155000.0,Fifth Third Bank
743,8063,276000.0,Chase Bank
744,9860,594000.0,Zions Bank
745,2885,85000.0,Capital One
746,4718,180000.0,BMO Harris
747,4468,103000.0,Citibank
748,6642,387000.0,Fifth Third Bank
749,8258,203000.0,Bank of America
750,9109,10000.0,Capital One
751,3861,202000.0,Chase Bank
752,830,89000.0,M&T Bank
753,4802,90000.0,Zions Bank
754,2420,50000.0,Capital One
755,9303,47000.0,Union Bank
756,5864,731000.0,Huntington Bank
757,4680,104000.0,Regions Bank
758,2693,60000.0,Fifth Third Bank
759,8583,30000.0,Regions Bank
760,4413,26000.0,Regions Bank
761,1371,101000.0,Regions Bank
762,2898,81000.0,First National Bank
763,98,226000.0,American Express
764,4502,163000.0,SunTrust
765,7230,209000.0,First National Bank
766,6664,157000.0,PNC Bank
767,8148,10000.0,Barclays
768,8356,75000.0,USAA
769,8339,190000.0,Union Bank
770,6437,1460000.0,Wells Fargo
771,6567,107000.0,PNC Bank
772,3271,3000.0,Wells Fargo
773,3655,186000.0,Charles Schwab Bank
774,321,126000.0,Union Bank
775,1276,1167000.0,Discover
776,2941,452000.0,Huntington Bank
777,8648,336000.0,Wells Fargo
778,3011,255000.0,Discover
779,322,286000.0,BMO Harris
780,9241,91000.0,Regions Bank
781,1557,217000.0,USAA
782,8954,135000.0,TD Bank
783,1344,317000.0,Bank of America
784,4360,100000.0,BMO Harris
785,1341,25000.0,Zions Bank
786,8662,82000.0,Union Bank
787,4424,1000.0,American Express
788,4920,188000.0,Citibank
789,4009,56000.0,Ally Financial
790,8246,1039000.0,Huntington Bank
791,4908,47000.0,Citibank
792,4635,102000.0,Santander
793,8459,45000.0,Discover
794,6546,1596000.0,Santander
795,461,878000.0,Ally Financial
796,8534,528000.0,Citibank
797,6882,32000.0,American Express
798,1954,533000.0,Navy Federal Credit Union
799,5478,345000.0,Union Bank
800,8214,149000.0,TD Bank
801,7653,339000.0,TD Bank
802,6707,19000.0,Ally Financial
803,3318,8000.0,Goldman Sachs
804,872,375000.0,Capital One
805,3151,145000.0,Fifth Third Bank
806,5608,123000.0,Comerica Bank
807,5286,743000.0,HSBC
808,2714,32000.0,State Farm Bank
809,1517,470000.0,Navy Federal Credit Union
810,2686,128000.0,Chase Bank
811,7007,183000.0,Wells Fargo
812,2871,4000.0,US Bank
813,8505,26000.0,Synchrony Financial
814,6059,308000.0,SunTrust
815,3493,284000.0,Comerica Bank
816,1363,109000.0,Fifth Third Bank
817,8749,186000.0,BB&T
818,7331,206000.0,Charles Schwab Bank
819,7335,210000.0,SunTrust
820,327,91000.0,Huntington Bank
821,5105,54000.0,Capital One
822,1011,270000.0,SunTrust
823,8888,56000.0,American Express
824,1838,370000.0,Huntington Bank
825,4117,105000.0,First National Bank
826,7876,255000.0,TD Bank
827,7356,257000.0,Ally Financial
828,6288,9000.0,Citizens Bank
829,3961,91000.0,Bank of America
830,1166,163000.0,Navy Federal Credit Union
831,2613,56000.0,Santander
832,6470,31000.0,Fifth Third Bank
833,7941,6000.0,Bank of America
834,319,96000.0,Barclays
