customer_id,product_id,interaction_type,engagement_score,time_spent_seconds,date_time,device_type,features_used,conversion_status
1602,51,Apply,34.84,83,2023-02-22 08:41:58,Samsung Galaxy,"Payment Schedule, Rate Comparison, Documents",True
4936,82,Click,30.13,29,2025-03-25 11:54:26,iPhone,Trade,False
9243,51,Click,8.57,3,2023-08-19 17:28:17,MacBook,"Documents, Loan Calculator, Application Status",False
6023,30,Click,46.41,341,2023-09-16 08:04:49,Google Pixel,"Transaction History, Alerts, Check Deposit",True
7005,84,View,2.82,80,2023-07-21 13:37:04,Samsung Galaxy,Research,False
7897,3,View,42.25,40,2024-10-04 11:23:29,MacBook,Payment Schedule,False
8771,17,Click,9.56,78,2023-03-11 14:14:40,iPhone,"Statements, Rewards Calculator, Payment Schedule",False
5363,18,View,8.16,26,2024-03-04 16:26:18,MacBook,"Cash Advance, Rewards Calculator, Payment Schedule",False
884,53,View,14.28,18,2024-03-03 22:42:13,Samsung Galaxy,Application Status,False
1812,76,View,32.8,12,2023-07-13 18:09:58,Android Tablet,Mortgage Calculator,False
6749,17,Click,23.03,27,2025-02-18 14:58:25,Windows PC,Balance Transfer,False
5457,11,Apply,63.78,121,2024-06-02 13:57:46,Samsung Galaxy,Cash Advance,True
9319,91,Apply,53.62,158,2023-01-18 13:13:50,Samsung Galaxy,Claims,False
3614,28,View,49.54,30,2024-10-06 03:01:50,Samsung Galaxy,"Alerts, Transaction History, Check Deposit",False
1712,19,View,42.12,9,2023-09-13 23:29:36,iPhone,"Rewards Calculator, Balance Transfer",False
5698,56,View,7.72,45,2025-03-11 09:51:33,iPhone,Loan Calculator,False
66,94,View,48.57,20,2023-11-26 21:39:58,iPhone,"Policy Documents, Account Management, Premium Calculator",True
6991,100,Click,25.4,14,2024-12-28 06:11:53,Samsung Galaxy,Account Management,True
4557,56,Download,17.17,34,2024-01-17 21:09:22,iPhone,"Rate Comparison, Payment Schedule",False
22,33,Download,65.67,69,2023-06-02 05:12:32,iPhone,Statements,False
2648,60,Calculate,75.54,246,2025-04-15 04:34:49,Windows PC,"Payment Schedule, Loan Calculator",True
8019,85,Compare,42.69,112,2025-04-03 07:28:36,Google Pixel,"Research, Trade, Portfolio Performance",True
6898,7,Download,48.11,53,2024-05-30 15:29:44,MacBook,Balance Transfer,False
5549,86,View,38.33,16,2025-03-06 21:55:09,iPad,Tax Documents,False
9752,35,Click,21.04,8,2025-02-18 23:12:11,Windows PC,Tax Documents,True
8687,25,Compare,42.95,276,2024-07-06 15:48:54,Windows PC,"Bill Pay, Money Transfer",False
5491,59,Apply,73.14,81,2024-09-17 18:43:48,MacBook,"Loan Calculator, Payment Schedule, Rate Comparison",False
4396,63,Calculate,57.88,129,2024-05-13 08:58:49,Samsung Galaxy,"Application Status, Documents, Vehicle Valuation",False
7935,72,View,27.87,16,2023-09-10 18:23:54,iPad,Application Status,False
4211,96,Click,29.17,54,2024-12-13 14:44:59,iPhone,"Coverage Details, Account Management, Premium Calculator",True
6884,87,Download,51.68,162,2023-05-16 19:01:58,iPad,"Research, Trade",False
4741,78,Click,19.72,8,2024-11-30 22:03:41,iPhone,"Amortization Schedule, Rate Comparison",False
4311,64,View,38.17,52,2024-01-26 02:46:47,iPhone,"Application Status, Documents",True
9987,90,Click,52.73,114,2024-12-06 21:59:25,MacBook,Tax Documents,True
5888,61,View,35.7,14,2024-04-04 06:14:33,MacBook,Payment Schedule,True
3823,37,View,41.84,25,2025-02-02 11:33:16,iPhone,Automatic Transfers,True
324,33,Click,15.51,16,2023-03-22 17:08:22,Samsung Galaxy,Goal Setting,False
3720,56,Click,27.87,6,2023-11-30 05:32:09,Google Pixel,Application Status,False
661,65,View,64.02,38,2023-12-02 03:50:35,Windows PC,Vehicle Valuation,True
4506,41,Download,63.72,30,2024-12-18 03:50:02,iPhone,"Goal Setting, Tax Documents, Statements",True
2132,24,View,36.72,13,2023-11-14 04:15:35,iPhone,"Check Deposit, Money Transfer, Bill Pay",True
410,15,View,22.97,12,2023-10-04 16:16:02,iPhone,"Statements, Payment Schedule",False
892,56,View,51.84,13,2025-02-10 06:47:54,Samsung Galaxy,Application Status,True
4517,27,Calculate,51.13,173,2023-06-21 02:42:11,Samsung Galaxy,Transaction History,False
8220,14,View,20.0,20,2024-08-08 00:06:31,iPhone,"Payment Schedule, Statements, Balance Transfer",False
4091,74,Compare,47.23,111,2023-10-24 06:34:22,Samsung Galaxy,"Documents, Amortization Schedule",False
887,3,View,46.23,46,2024-06-08 21:24:36,Windows PC,Cash Advance,True
4824,42,Apply,50.72,295,2024-11-19 17:59:07,iPhone,"Automatic Transfers, Interest Calculator, Statements",True
9498,2,View,31.19,8,2023-07-27 02:38:51,Google Pixel,"Statements, Balance Transfer",False
5588,77,View,7.48,25,2025-04-20 18:37:15,iPad,"Rate Comparison, Documents",False
8256,100,Compare,24.91,170,2024-01-04 04:15:58,Windows PC,Claims,True
3688,37,Click,31.59,8,2024-10-30 06:50:25,Samsung Galaxy,"Statements, Automatic Transfers",False
1135,33,Apply,65.32,463,2023-05-27 20:17:46,Samsung Galaxy,"Statements, Interest Calculator",True
7817,31,View,24.97,20,2024-05-13 05:14:53,iPad,"Automatic Transfers, Interest Calculator, Goal Setting",False
2323,9,Click,53.05,107,2023-02-13 06:42:50,Windows PC,"Payment Schedule, Statements, Cash Advance",False
966,64,View,19.02,31,2024-08-24 18:23:23,Samsung Galaxy,Loan Calculator,True
93,87,View,11.39,44,2025-03-08 05:22:20,MacBook,"Asset Allocation, Tax Documents",False
9075,35,Apply,64.39,88,2024-05-19 07:38:47,Samsung Galaxy,"Goal Setting, Automatic Transfers",False
4259,78,View,53.85,10,2024-01-28 16:52:47,Google Pixel,"Mortgage Calculator, Documents, Rate Comparison",True
8404,14,Click,39.28,69,2025-04-09 04:05:10,iPhone,"Payment Schedule, Cash Advance, Rewards Calculator",True
7418,1,Compare,41.79,27,2024-08-18 04:11:45,Samsung Galaxy,"Rewards Calculator, Statements, Cash Advance",True
6030,94,Compare,43.92,57,2023-12-27 10:23:58,Windows PC,"Premium Calculator, Coverage Details, Policy Documents",False
897,28,View,21.34,6,2024-08-15 14:33:53,iPhone,"Bill Pay, Check Deposit, Transaction History",False
3242,78,Calculate,93.79,226,2023-12-20 00:35:25,Windows PC,"Mortgage Calculator, Rate Comparison, Application Status",True
6567,13,Download,37.2,63,2024-09-26 12:39:47,Google Pixel,"Payment Schedule, Cash Advance",True
4504,39,Click,1.0,27,2023-03-25 06:38:50,iPhone,"Statements, Tax Documents",False
4292,48,Download,46.31,30,2024-11-30 06:33:01,iPad,Payment Schedule,True
555,48,Click,15.87,34,2024-04-15 22:17:50,Samsung Galaxy,"Documents, Rate Comparison",True
8281,27,Apply,55.74,67,2025-02-22 01:01:22,Samsung Galaxy,"Check Deposit, Alerts, Money Transfer",False
8387,51,Click,39.8,27,2023-11-05 19:34:16,iPhone,Application Status,False
1236,40,Click,21.11,12,2023-04-30 22:36:07,Samsung Galaxy,"Statements, Goal Setting, Automatic Transfers",True
1050,88,Download,36.76,35,2023-01-31 15:49:36,MacBook,"Asset Allocation, Tax Documents",True
5126,25,Click,52.29,154,2024-06-03 06:17:51,Google Pixel,"Money Transfer, Alerts, Bill Pay",True
58,49,Download,44.98,70,2024-02-25 04:22:42,MacBook,Application Status,False
7678,34,Apply,49.89,22,2024-08-27 07:43:11,iPhone,"Tax Documents, Interest Calculator",False
5727,79,View,2.01,5,2024-03-26 08:03:53,Windows PC,Amortization Schedule,False
6778,83,Click,10.06,7,2024-12-25 13:22:45,iPhone,"Research, Tax Documents, Portfolio Performance",False
2038,45,View,45.87,34,2023-08-04 05:16:24,iPhone,"Statements, Automatic Transfers, Interest Calculator",False
2947,57,View,37.05,64,2024-07-09 12:32:51,Google Pixel,"Rate Comparison, Loan Calculator, Application Status",False
9731,24,Download,70.25,77,2023-12-19 08:37:32,Samsung Galaxy,"Transaction History, Bill Pay, Check Deposit",False
14,6,View,49.33,19,2024-07-30 14:50:03,Samsung Galaxy,Payment Schedule,False
8729,92,View,61.94,152,2024-03-18 14:20:45,Samsung Galaxy,Policy Documents,False
3082,47,Click,33.99,14,2024-10-24 07:21:18,iPhone,Application Status,False
3317,90,View,26.52,40,2024-03-25 02:53:22,MacBook,Research,False
7359,90,Click,12.55,6,2024-03-07 03:38:13,Samsung Galaxy,"Tax Documents, Asset Allocation, Portfolio Performance",False
2194,5,Compare,46.95,144,2025-03-08 10:52:17,Samsung Galaxy,Payment Schedule,False
4222,52,View,51.74,33,2023-07-17 08:15:15,iPhone,"Application Status, Loan Calculator",False
3039,53,Apply,53.76,67,2023-03-21 20:55:11,Samsung Galaxy,"Rate Comparison, Loan Calculator",True
355,89,Apply,69.11,213,2023-08-19 23:17:20,Google Pixel,"Asset Allocation, Research, Portfolio Performance",False
9577,95,Compare,54.29,203,2023-10-31 16:09:08,iPad,"Coverage Details, Account Management",False
608,38,View,23.53,77,2024-12-12 11:23:00,iPad,"Statements, Interest Calculator",False
9312,42,View,41.76,27,2024-10-22 03:56:11,Samsung Galaxy,"Goal Setting, Tax Documents",True
592,39,View,18.64,25,2023-09-13 15:14:08,Samsung Galaxy,"Tax Documents, Goal Setting, Automatic Transfers",True
2341,91,Click,38.04,128,2023-03-07 13:08:07,iPhone,Account Management,False
287,90,Share,51.34,63,2023-08-30 21:27:50,iPhone,Tax Documents,False
6339,3,View,31.6,12,2024-12-10 22:51:54,iPhone,"Payment Schedule, Balance Transfer, Cash Advance",False
9923,86,View,9.93,32,2023-08-27 09:24:24,iPhone,"Asset Allocation, Research, Tax Documents",False
1287,9,View,15.85,21,2023-07-08 18:25:47,Android Tablet,Balance Transfer,False
7441,100,Click,33.21,26,2024-12-06 15:12:55,iPad,"Claims, Coverage Details, Policy Documents",False
8551,30,Click,36.64,9,2024-09-13 03:44:12,Windows PC,"Check Deposit, Alerts",False
5756,16,Download,44.94,69,2024-12-31 02:52:08,iPhone,Payment Schedule,True
8236,58,View,30.96,57,2025-01-06 16:20:19,iPhone,"Rate Comparison, Loan Calculator, Documents",False
5082,18,Click,49.3,34,2024-03-27 11:51:07,Samsung Galaxy,"Cash Advance, Balance Transfer, Payment Schedule",False
5149,94,Apply,62.39,31,2024-03-27 14:04:57,Windows PC,Coverage Details,True
2654,45,Click,21.75,119,2024-02-05 23:17:02,Windows PC,"Tax Documents, Statements, Interest Calculator",False
7907,78,View,69.39,68,2023-11-04 21:34:55,Windows PC,Rate Comparison,False
604,48,View,41.61,28,2023-01-06 02:40:09,iPhone,Application Status,False
1779,45,Click,26.36,19,2024-02-13 03:15:14,Samsung Galaxy,"Automatic Transfers, Tax Documents",False
5556,62,Click,45.86,8,2023-02-11 15:22:55,iPad,"Documents, Application Status, Payment Schedule",False
2492,14,Click,48.54,20,2023-10-28 07:24:09,Google Pixel,"Balance Transfer, Payment Schedule, Rewards Calculator",False
6461,12,Click,20.11,22,2023-05-30 11:29:54,Samsung Galaxy,"Balance Transfer, Statements",False
1308,52,Download,45.45,103,2024-08-27 22:10:12,Google Pixel,Loan Calculator,True
1737,95,Download,60.54,120,2024-08-25 18:05:26,Samsung Galaxy,"Claims, Policy Documents",True
9965,99,Click,14.81,13,2025-03-03 14:47:22,iPad,"Claims, Premium Calculator",False
2587,86,Click,29.05,22,2024-09-03 04:30:08,Samsung Galaxy,"Portfolio Performance, Tax Documents",False
8195,5,Apply,41.76,168,2023-03-06 08:19:54,iPad,"Rewards Calculator, Balance Transfer",False
6768,31,Click,53.86,25,2025-02-01 05:25:14,iPhone,"Goal Setting, Interest Calculator",False
1349,63,Click,15.61,17,2023-11-06 04:06:06,iPad,Payment Schedule,True
8281,37,View,36.56,40,2024-05-28 07:15:38,iPhone,Automatic Transfers,True
3041,83,Click,16.94,72,2024-10-26 19:04:53,Windows PC,"Trade, Tax Documents",True
2997,35,Click,22.65,11,2023-11-15 22:42:42,iPhone,Statements,False
2604,87,Calculate,32.67,194,2023-07-11 00:03:00,MacBook,"Asset Allocation, Portfolio Performance, Tax Documents",True
7437,70,View,37.54,20,2024-07-12 18:14:43,Samsung Galaxy,"Payment Schedule, Application Status",False
5979,13,View,8.8,4,2024-06-26 15:50:21,Google Pixel,"Statements, Balance Transfer",False
7801,8,Download,36.0,60,2023-08-21 03:53:19,iPhone,Balance Transfer,True
5746,5,View,34.0,4,2023-03-20 18:59:48,iPhone,"Statements, Rewards Calculator",False
5827,28,View,27.52,4,2024-02-18 21:53:24,iPhone,Alerts,False
6565,95,Calculate,79.83,182,2025-01-21 18:31:40,iPhone,"Claims, Coverage Details",True
1237,100,Click,48.06,57,2024-06-17 10:47:46,Samsung Galaxy,"Claims, Premium Calculator",True
9001,65,Compare,54.83,84,2024-03-10 05:32:58,iPhone,"Loan Calculator, Application Status",True
6555,97,View,21.98,35,2025-02-23 03:05:49,Samsung Galaxy,"Policy Documents, Claims",True
1284,46,View,37.9,9,2023-04-15 01:48:21,Google Pixel,"Loan Calculator, Rate Comparison",False
4561,11,Click,22.03,29,2024-07-13 07:14:22,Windows PC,"Balance Transfer, Rewards Calculator",False
5053,21,View,20.52,10,2024-06-21 00:17:58,iPhone,"Alerts, Money Transfer",False
3736,85,View,51.48,20,2023-06-06 03:47:39,Samsung Galaxy,Portfolio Performance,False
1858,90,Apply,56.23,232,2023-08-04 17:17:07,Samsung Galaxy,Asset Allocation,True
3648,99,View,23.11,4,2024-01-19 05:39:47,Samsung Galaxy,"Account Management, Policy Documents, Premium Calculator",False
7603,86,Compare,26.29,57,2025-02-04 00:07:33,Samsung Galaxy,"Portfolio Performance, Tax Documents, Trade",False
7139,70,View,27.57,44,2025-02-13 16:34:37,Google Pixel,"Payment Schedule, Documents, Application Status",False
2452,37,Compare,56.41,208,2025-02-04 00:48:33,Google Pixel,"Interest Calculator, Statements",True
4816,65,Apply,60.01,195,2023-07-31 12:23:21,iPhone,"Loan Calculator, Payment Schedule, Documents",True
8945,89,View,5.72,11,2025-01-24 14:09:19,iPhone,"Portfolio Performance, Tax Documents, Trade",False
261,27,Click,41.48,5,2024-06-19 23:37:58,Samsung Galaxy,"Alerts, Money Transfer, Transaction History",False
1471,53,View,39.19,33,2024-12-23 07:19:17,iPhone,Payment Schedule,True
168,16,Click,40.26,13,2023-11-09 21:55:44,iPad,Rewards Calculator,False
2481,90,Click,35.52,49,2025-02-28 17:16:54,Google Pixel,Portfolio Performance,True
1037,99,View,16.81,1,2024-12-06 06:23:27,iPhone,"Account Management, Premium Calculator",False
3220,13,Download,64.94,41,2023-06-15 10:19:52,Samsung Galaxy,Payment Schedule,True
6781,8,Calculate,76.81,272,2025-02-17 01:02:44,MacBook,"Statements, Cash Advance",True
492,97,Click,57.93,32,2025-04-01 09:41:56,iPad,"Coverage Details, Premium Calculator",True
1647,21,View,61.21,54,2023-07-04 10:46:52,Samsung Galaxy,"Bill Pay, Alerts, Transaction History",True
451,89,Chat,60.53,83,2023-02-20 15:47:03,Samsung Galaxy,"Tax Documents, Trade, Portfolio Performance",False
7077,88,Click,29.17,7,2025-01-15 22:55:11,Samsung Galaxy,"Trade, Portfolio Performance",True
142,54,View,36.99,18,2025-03-20 00:31:43,MacBook,"Documents, Rate Comparison",False
8149,78,Click,50.08,44,2023-06-10 02:23:12,MacBook,"Application Status, Rate Comparison, Amortization Schedule",True
5348,77,View,31.9,5,2023-12-07 02:37:39,Samsung Galaxy,"Application Status, Amortization Schedule, Rate Comparison",True
2548,47,Calculate,63.02,1080,2024-10-29 09:18:25,Windows PC,"Documents, Payment Schedule, Application Status",False
7888,93,Apply,89.97,136,2024-05-07 20:43:17,iPhone,"Policy Documents, Coverage Details, Premium Calculator",True
2243,53,Apply,44.56,70,2023-01-01 23:38:07,Google Pixel,"Application Status, Loan Calculator",True
1775,74,View,52.79,13,2024-10-05 02:42:05,iPhone,"Amortization Schedule, Mortgage Calculator",False
467,99,View,19.13,5,2024-06-17 00:49:42,Google Pixel,"Policy Documents, Premium Calculator, Claims",False
8087,59,View,12.98,11,2024-08-28 06:48:11,Google Pixel,Payment Schedule,False
9691,23,Click,47.33,11,2024-02-03 17:44:12,Samsung Galaxy,"Check Deposit, Money Transfer, Alerts",False
9219,86,Compare,40.39,211,2024-01-25 21:00:14,Samsung Galaxy,"Tax Documents, Asset Allocation",False
902,99,Calculate,70.6,134,2025-04-12 20:26:44,iPhone,"Premium Calculator, Policy Documents",True
1752,48,View,12.71,6,2023-06-07 04:42:02,MacBook,"Documents, Rate Comparison, Application Status",False
6210,19,Click,40.8,26,2023-02-04 18:54:49,iPad,Rewards Calculator,True
2269,12,View,49.86,29,2024-08-09 09:49:27,Google Pixel,Rewards Calculator,True
5594,19,Chat,75.63,36,2023-01-02 08:22:26,iPhone,"Cash Advance, Rewards Calculator, Balance Transfer",False
9619,99,Apply,63.64,34,2024-09-17 04:49:54,iPhone,"Account Management, Premium Calculator",False
5635,94,Click,26.18,15,2024-05-28 19:37:22,Windows PC,Premium Calculator,False
7837,25,Click,25.3,39,2023-10-28 16:00:03,iPhone,"Transaction History, Money Transfer",False
6026,72,View,36.26,7,2023-05-07 17:48:59,Samsung Galaxy,"Documents, Mortgage Calculator, Amortization Schedule",False
7829,20,Download,42.89,39,2024-11-03 06:25:24,iPhone,Rewards Calculator,True
6681,39,View,15.9,9,2023-09-28 01:03:31,iPhone,"Statements, Interest Calculator",False
1330,47,View,5.42,21,2025-03-16 06:43:07,iPad,Rate Comparison,False
2021,68,Apply,95.71,379,2024-01-17 06:58:34,iPad,"Vehicle Valuation, Application Status, Documents",True
2243,56,View,38.73,27,2024-08-19 15:40:44,Windows PC,Payment Schedule,True
6774,55,Compare,46.64,103,2025-01-27 19:18:01,iPhone,Application Status,False
2991,31,View,14.85,20,2024-06-24 07:10:07,iPhone,"Tax Documents, Goal Setting, Interest Calculator",False
7789,98,View,61.68,14,2025-04-06 21:41:55,Google Pixel,"Claims, Account Management",True
3511,72,Calculate,78.79,539,2023-11-07 11:25:44,iPhone,Application Status,True
1763,44,View,68.51,49,2025-03-29 22:58:47,Windows PC,"Tax Documents, Goal Setting",True
176,62,Click,1.0,29,2023-08-30 23:13:43,Samsung Galaxy,"Application Status, Documents",False
963,26,Chat,68.48,122,2023-07-13 20:16:21,Windows PC,Money Transfer,True
8218,17,Compare,18.78,154,2025-04-15 04:26:42,Windows PC,Cash Advance,False
3986,60,Click,1.0,216,2023-03-16 00:30:18,Google Pixel,"Documents, Application Status",False
7582,31,Click,21.35,3,2023-03-18 23:44:40,iPad,"Statements, Goal Setting, Tax Documents",True
1264,1,Compare,58.81,98,2024-10-20 09:32:51,MacBook,Statements,False
3395,46,View,58.21,155,2023-01-27 08:48:43,Samsung Galaxy,"Loan Calculator, Documents, Application Status",True
1471,43,Compare,34.42,108,2023-03-06 14:01:55,Google Pixel,"Statements, Automatic Transfers, Interest Calculator",True
5241,67,Click,37.2,30,2024-06-07 08:23:02,iPhone,Payment Schedule,False
1788,62,View,37.21,18,2023-01-15 01:03:47,MacBook,"Application Status, Documents",False
7866,81,Click,17.02,11,2023-11-15 20:20:59,iPhone,"Asset Allocation, Research, Trade",False
420,39,View,27.15,25,2023-10-29 02:45:19,Google Pixel,"Interest Calculator, Goal Setting",True
2991,53,Compare,47.41,141,2023-03-25 11:14:32,iPhone,"Rate Comparison, Application Status",True
5729,99,Compare,36.71,87,2024-05-17 02:13:26,iPhone,"Coverage Details, Account Management, Policy Documents",True
2812,43,Share,53.35,114,2024-02-03 12:53:26,Google Pixel,"Statements, Interest Calculator",False
8402,48,View,28.58,22,2024-09-17 09:24:33,Samsung Galaxy,Rate Comparison,True
9800,89,View,30.0,7,2023-04-15 17:19:24,Samsung Galaxy,Tax Documents,False
1848,79,View,67.52,168,2023-10-14 13:47:50,iPhone,"Application Status, Documents, Mortgage Calculator",False
8834,26,Apply,75.56,115,2023-03-23 15:30:10,Google Pixel,Money Transfer,True
6632,2,Click,44.91,27,2025-01-04 09:55:52,Windows PC,"Rewards Calculator, Payment Schedule",True
1857,33,Click,24.12,6,2023-01-05 09:40:54,Google Pixel,Statements,True
3991,69,View,35.33,15,2025-01-22 14:36:04,Samsung Galaxy,"Vehicle Valuation, Loan Calculator",False
6763,8,Click,51.59,121,2024-09-24 22:34:29,Samsung Galaxy,Payment Schedule,True
229,76,Apply,53.04,119,2023-04-05 00:11:06,iPhone,"Amortization Schedule, Application Status, Documents",False
3438,54,Apply,62.16,240,2023-11-11 16:44:23,Samsung Galaxy,Rate Comparison,False
961,63,Click,35.24,13,2023-04-03 14:07:47,Windows PC,"Documents, Payment Schedule, Vehicle Valuation",True
2402,97,Click,1.0,15,2023-09-21 06:47:03,iPad,"Premium Calculator, Claims",False
5725,29,Chat,42.81,186,2023-06-02 19:08:09,MacBook,"Money Transfer, Bill Pay, Check Deposit",True
1030,42,View,48.36,80,2025-01-25 17:07:06,Windows PC,"Tax Documents, Statements, Goal Setting",True
765,30,Apply,38.94,37,2023-03-24 16:31:15,Samsung Galaxy,"Alerts, Money Transfer, Transaction History",False
1686,22,Download,60.49,44,2024-07-09 04:27:30,iPhone,"Bill Pay, Money Transfer",True
7099,34,Click,30.79,5,2025-01-07 11:08:41,Samsung Galaxy,"Tax Documents, Interest Calculator",False
9884,91,View,45.28,105,2025-03-20 20:38:27,Windows PC,"Coverage Details, Account Management, Claims",False
3901,2,Click,46.2,17,2023-11-25 10:56:42,Google Pixel,"Statements, Cash Advance, Payment Schedule",False
9279,5,View,32.81,2,2024-11-21 22:16:05,iPad,"Cash Advance, Balance Transfer, Payment Schedule",True
5741,26,View,42.51,11,2023-07-05 08:51:08,Samsung Galaxy,"Bill Pay, Money Transfer",False
6500,100,View,39.88,25,2024-03-04 19:09:32,iPad,"Premium Calculator, Account Management",False
6277,33,Download,43.36,33,2023-12-25 07:31:07,iPhone,"Goal Setting, Tax Documents",False
1043,24,Click,26.21,17,2023-04-01 08:22:22,Google Pixel,Money Transfer,False
3362,30,Download,53.41,140,2023-03-01 10:45:05,Samsung Galaxy,Alerts,True
6918,12,View,38.88,3,2024-08-01 03:38:00,MacBook,Balance Transfer,False
2750,28,View,45.85,7,2023-02-07 22:12:05,Windows PC,"Bill Pay, Alerts, Money Transfer",False
1379,88,Compare,66.3,220,2024-05-31 16:27:44,Samsung Galaxy,"Trade, Research",True
2516,41,Share,46.28,61,2025-01-08 14:51:25,Android Tablet,"Interest Calculator, Automatic Transfers, Goal Setting",False
5409,85,Apply,62.5,171,2024-08-13 10:47:09,Samsung Galaxy,Trade,True
6326,86,Apply,98.25,568,2023-01-01 02:33:34,Samsung Galaxy,"Portfolio Performance, Research, Trade",True
1458,51,Apply,86.89,208,2023-07-08 12:34:17,iPhone,"Loan Calculator, Payment Schedule",False
5262,72,View,47.28,19,2024-01-06 00:30:11,Samsung Galaxy,Mortgage Calculator,True
1720,97,Click,19.5,25,2023-02-21 17:45:16,Samsung Galaxy,"Account Management, Premium Calculator, Coverage Details",False
140,49,View,32.25,14,2024-04-25 03:44:42,iPhone,"Documents, Rate Comparison, Application Status",False
3807,49,Download,43.05,34,2025-04-19 21:47:04,Windows PC,"Documents, Payment Schedule, Loan Calculator",False
7235,72,Click,15.0,15,2024-04-16 00:30:18,Samsung Galaxy,"Documents, Amortization Schedule",False
9832,83,Click,38.96,3,2024-04-13 04:00:29,Samsung Galaxy,"Tax Documents, Portfolio Performance, Research",False
722,5,Click,27.52,16,2023-05-30 20:03:51,iPad,"Balance Transfer, Payment Schedule",False
6636,36,View,51.43,22,2025-03-31 23:09:34,Samsung Galaxy,"Statements, Automatic Transfers, Tax Documents",False
5354,69,View,39.48,2,2023-10-12 14:03:15,iPhone,"Loan Calculator, Vehicle Valuation",True
4045,31,View,7.93,10,2023-06-19 19:31:51,Windows PC,Tax Documents,False
1995,79,Click,35.86,36,2024-09-04 04:40:34,Samsung Galaxy,"Documents, Application Status",True
3520,51,View,57.33,73,2023-07-12 08:25:14,Google Pixel,"Loan Calculator, Rate Comparison, Application Status",False
7577,100,Apply,86.03,287,2024-09-11 14:13:13,MacBook,"Account Management, Coverage Details",True
3210,84,Click,15.94,14,2024-02-26 23:52:42,iPhone,"Research, Trade, Tax Documents",False
1226,51,View,52.56,81,2023-09-14 02:14:01,iPad,Application Status,True
3818,87,Click,32.23,94,2024-02-12 11:46:10,MacBook,"Research, Tax Documents",True
8096,12,Download,36.96,131,2025-03-04 01:41:53,iPhone,"Balance Transfer, Cash Advance",False
7756,93,View,44.68,72,2025-04-09 05:49:09,Samsung Galaxy,"Premium Calculator, Account Management",False
4789,6,Calculate,58.49,91,2025-03-12 10:33:30,Android Tablet,Balance Transfer,True
